command_address,response_address,command_memory,response_memory,command_memory_count,response_memory_count,comm_read_function,comm_write_fun,resp_read_fun,resp_write_fun,sub_function,command_length,resp_length,HH,H,L,LL,control_mode,control_scheme,pump,crc_rate,measurement,time,result
7,7,183,233,9,10,3,10,3,10,0,25,21,90,80,20,10,2,1,0,1,85.758957,1,0
7,7,183,233,9,10,3,10,3,10,0,25,21,90,80,20,10,2,1,0,1,85.673676,1.07,0
7,7,183,233,9,10,3,10,3,10,0,25,21,90,80,20,10,2,1,0,1,85.616829,1.16,0
7,7,183,233,9,10,3,10,3,10,0,25,21,90,80,20,10,2,1,0,1,85.559975,1.1,0
7,7,183,233,9,10,3,10,3,10,0,25,21,90,80,20,10,2,1,0,1,85.474701,1.15,0
7,7,183,233,9,10,3,10,3,10,0,25,21,90,80,20,10,2,1,0,1,85.38942,1.29,0
7,7,183,233,9,10,3,10,3,10,0,25,21,90,80,20,10,2,1,0,1,85.332573,1.27,0
7,7,183,233,9,10,3,10,3,10,0,25,21,90,80,20,10,2,1,0,1,85.21888,1.22,0
7,7,183,233,9,10,3,10,3,10,0,25,21,90,80,20,10,2,1,0,1,85.105171,1.26,0
7,7,183,233,9,10,3,10,3,10,0,25,21,90,80,20,10,2,1,0,1,85.076752,1.04,0
7,0,183,0,9,0,3,10,3,0,0,25,123,90,80,20,10,0,1,0,1,0,1,7
7,0,183,0,9,0,3,10,3,0,0,25,123,90,80,20,10,0,1,0,1,0,1,7
7,7,183,233,9,10,3,10,3,10,0,25,21,90,80,20,10,0,1,0,1,0,1.19,0
7,0,183,0,9,0,3,10,3,0,0,25,123,90,80,20,10,0,1,0,1,0,1,7
7,0,183,0,9,0,3,10,3,0,0,25,123,90,80,20,10,0,1,0,1,0,1.01,7
7,7,183,233,9,10,3,10,3,10,0,25,21,90,80,20,10,0,1,0,1,0,1.15,0
7,0,183,0,9,0,3,10,3,0,0,25,123,90,80,20,10,0,1,0,1,0,1.01,7
7,0,183,0,9,0,3,10,3,0,0,25,123,90,80,20,10,0,1,0,1,0,1,7
7,7,183,233,9,10,3,10,3,10,0,25,21,90,80,20,10,0,1,0,1,0,1.22,0
7,0,183,0,9,0,3,10,3,0,0,25,123,90,80,20,10,0,1,0,1,0,1.01,7
7,7,183,233,9,10,3,10,3,10,0,25,21,90,80,20,10,0,1,0,1,0,1.25,0
7,0,183,0,9,0,3,10,3,0,0,25,123,90,80,20,10,0,1,0,1,0,1.01,7
7,7,183,233,9,10,3,10,3,10,0,25,21,90,80,20,10,0,1,0,1,0,1.28,0
7,0,183,0,9,0,3,10,3,0,0,25,123,90,80,20,10,0,1,0,1,0,1.01,7
7,0,183,0,9,0,3,10,3,0,0,25,123,90,80,20,10,0,1,0,1,0,1,7
7,0,183,0,9,0,3,10,3,0,0,25,123,90,80,20,10,0,1,0,1,0,1.01,7
7,0,183,0,9,0,3,10,3,0,0,25,123,90,80,20,10,0,1,0,1,0,1.01,7
7,7,183,233,9,10,3,10,3,10,0,25,21,90,80,20,10,0,1,0,1,0,1.19,0
7,0,183,0,9,0,3,10,3,0,0,25,123,90,80,20,10,0,1,0,1,0,1,7
7,7,183,233,9,10,3,10,3,10,0,25,21,90,80,20,10,0,1,0,1,0,1.11,0
7,0,183,0,9,0,3,10,3,0,0,25,123,90,80,20,10,0,1,0,1,0,1.01,7
7,0,183,0,9,0,3,10,3,0,0,25,123,90,80,20,10,0,1,0,1,0,1,7
7,0,183,0,9,0,3,10,3,0,0,25,123,90,80,20,10,0,1,0,1,0,1.01,7
7,7,183,233,9,10,3,10,3,10,0,25,21,90,80,20,10,0,1,0,1,0,1.04,0
7,7,183,233,9,10,3,10,3,10,0,25,21,90,80,20,10,0,1,0,1,0,1.05,0
7,0,183,0,9,0,3,10,3,0,0,25,123,90,80,20,10,0,1,0,1,0,1,7
7,7,183,233,9,10,3,10,3,10,0,25,21,90,80,20,10,0,1,0,1,0,1.29,0
7,0,183,0,9,0,3,10,3,0,0,25,123,90,80,20,10,0,1,0,1,0,1,7
7,0,183,0,9,0,3,10,3,0,0,25,123,90,80,20,10,0,1,0,1,0,1,7
7,0,183,0,9,0,3,10,3,0,0,25,123,90,80,20,10,0,1,1,1,0,1.01,7
7,0,183,0,9,0,3,10,3,0,0,25,123,90,80,20,10,0,1,0,1,0,1,7
7,7,183,233,9,10,3,10,3,10,0,25,21,90,80,20,10,0,1,0,1,0,1.05,0
7,7,183,233,9,10,3,10,3,10,0,25,21,90,80,20,10,0,1,0,1,0,1.06,0
7,0,183,0,9,0,3,10,3,0,0,25,123,90,80,20,10,0,1,0,1,0,1,7
7,0,183,0,9,0,3,10,3,0,0,25,123,90,80,20,10,0,1,0,1,0,1.01,7
7,0,183,0,9,0,3,10,3,0,0,25,123,90,80,20,10,0,1,0,1,0,1,7
7,0,183,0,9,0,3,10,3,0,0,25,123,90,80,20,10,0,1,0,1,0,1.01,7
7,0,183,0,9,0,3,10,3,0,0,25,123,90,80,20,10,0,1,0,1,0,1.01,7
7,0,183,0,9,0,3,10,3,0,0,25,123,90,80,20,10,0,1,0,1,0,1,7
7,7,183,233,9,10,3,10,3,10,0,25,21,90,80,20,10,0,1,0,1,0,1.02,0
